train_mae_step,epoch,step,valid_loss,valid_mae,train_loss,train_mae_epoch,test_loss,test_mae
,46,281,117984.2890625,254.8002471923828,,,,
,46,281,,,112913.7578125,231.43118286132812,,
199.83609008789062,47,284,,,,,,
,47,287,121196.9609375,234.02699279785156,,,,
,47,287,,,133046.140625,234.62156677246094,,
252.00852966308594,48,289,,,,,,
,48,293,166981.546875,263.5858154296875,,,,
,48,293,,,110740.6171875,227.1195831298828,,
247.35726928710938,49,294,,,,,,
355.1070861816406,49,299,,,,,,
,49,299,105589.0859375,233.8957977294922,,,,
,49,299,,,94855.0625,200.76705932617188,,
,50,300,,,,,105589.0859375,233.8957977294922
