epoch,step,train_mae_step,valid_mae,valid_loss,train_mae_epoch,train_loss,test_loss,test_mae
34,209,,237.18736267089844,116897.96875,,,,
34,209,,,,236.32261657714844,111077.625,,
35,214,258.7801818847656,,,,,,
35,215,,239.86717224121094,109898.5703125,,,,
35,215,,,,232.37518310546875,113576.203125,,
36,219,210.03915405273438,,,,,,
36,221,,232.05653381347656,106254.2109375,,,,
36,221,,,,230.35812377929688,114319.53125,,
37,224,258.9184265136719,,,,,,
37,227,,246.37777709960938,135892.078125,,,,
37,227,,,,226.828857421875,106222.7890625,,
38,229,189.80526733398438,,,,,,
38,233,,226.15985107421875,104558.8671875,,,,
38,233,,,,216.71533203125,102052.8203125,,
39,234,257.3309020996094,,,,,,
39,239,186.47816467285156,,,,,,
39,239,,232.86483764648438,118967.265625,,,,
39,239,,,,254.08169555664062,142228.734375,,
40,244,185.28355407714844,,,,,,
40,245,,266.2120056152344,162936.03125,,,,
40,245,,,,219.1637725830078,108445.703125,,
41,249,177.43080139160156,,,,,,
41,251,,234.8170928955078,106765.4765625,,,,
41,251,,,,224.38998413085938,104271.2421875,,
42,254,253.25823974609375,,,,,,
42,257,,226.72789001464844,114650.59375,,,,
42,257,,,,229.8469696044922,115478.890625,,
43,259,236.6941680908203,,,,,,
43,263,,285.9651794433594,185955.625,,,,
43,263,,,,239.0711212158203,119252.46875,,
44,264,244.10479736328125,,,,,,
44,269,193.0037078857422,,,,,,
44,269,,251.77862548828125,116298.546875,,,,
44,269,,,,237.07244873046875,121476.1171875,,
45,274,221.16697692871094,,,,,,
45,275,,224.59683227539062,103923.1875,,,,
45,275,,,,245.72317504882812,115544.7734375,,
46,279,303.4761047363281,,,,,,
46,281,,254.8002471923828,117984.2890625,,,,
46,281,,,,231.43118286132812,112913.7578125,,
47,284,199.83609008789062,,,,,,
47,287,,234.02699279785156,121196.9609375,,,,
47,287,,,,234.62156677246094,133046.140625,,
48,289,252.00852966308594,,,,,,
48,293,,263.5858154296875,166981.546875,,,,
48,293,,,,227.1195831298828,110740.6171875,,
49,294,247.35726928710938,,,,,,
49,299,355.1070861816406,,,,,,
49,299,,233.8957977294922,105589.0859375,,,,
49,299,,,,200.76705932617188,94855.0625,,
50,300,,,,,,105589.0859375,233.8957977294922
